location,name,address
Adana,Adana Alparslan Türkeş University of Science and Technology,"Adana Alparslan Türkeş University of Science and Technology, Adana, Türkiye"
,Çukurova University,"Çukurova University, , Türkiye"
Adıyaman,Adıyaman University,"Adıyaman University, Adıyaman, Türkiye"
Afyonkarahisar,Afyon Kocatepe University,"Afyon Kocatepe University, Afyonkarahisar, Türkiye"
,Afyonkarahisar Health Sciences University,"Afyonkarahisar Health Sciences University, , Türkiye"
Ağrı,Ağrı İbrahim Çeçen University,"Ağrı İbrahim Çeçen University, Ağrı, Türkiye"
Aksaray,Aksaray University,"Aksaray University, Aksaray, Türkiye"
Amasya,Amasya University,"Amasya University, Amasya, Türkiye"
Ankara,Ankara University,"Ankara University, Ankara, Türkiye"
,Ankara Music and Fine Arts University,"Ankara Music and Fine Arts University, , Türkiye"
,Ankara Hacı Bayram Veli University,"Ankara Hacı Bayram Veli University, , Türkiye"
,Social Sciences University of Ankara,"Social Sciences University of Ankara, , Türkiye"
,Gazi University,"Gazi University, , Türkiye"
,Hacettepe University,"Hacettepe University, , Türkiye"
,Middle East Technical University,"Middle East Technical University, , Türkiye"
,Ankara Yıldırım Beyazıt University,"Ankara Yıldırım Beyazıt University, , Türkiye"
,Ankara Science University,"Ankara Science University, , Türkiye"
,Ankara Medipol University,"Ankara Medipol University, , Türkiye"
,Atılım University,"Atılım University, , Türkiye"
,Başkent University,"Başkent University, , Türkiye"
,Çankaya University,"Çankaya University, , Türkiye"
,Bilkent University,"Bilkent University, , Türkiye"
,Lokman Hekim University,"Lokman Hekim University, , Türkiye"
,OSTIM Technical University,"OSTIM Technical University, , Türkiye"
,TED University,"TED University, , Türkiye"
,TOBB University of Economics and Technology,"TOBB University of Economics and Technology, , Türkiye"
,Ufuk University,"Ufuk University, , Türkiye"
,University of Turkish Aeronautical Association,"University of Turkish Aeronautical Association, , Türkiye"
,Yüksek İhtisas University,"Yüksek İhtisas University, , Türkiye"
,Police Academy (Police),"Police Academy (Police), , Türkiye"
Antalya,Akdeniz University,"Akdeniz University, Antalya, Türkiye"
,Alanya Alaaddin Keykubat University,"Alanya Alaaddin Keykubat University, , Türkiye"
,Alanya University,"Alanya University, , Türkiye"
,Antalya Belek University,"Antalya Belek University, , Türkiye"
,Antalya Bilim University,"Antalya Bilim University, , Türkiye"
Ardahan,Ardahan University,"Ardahan University, Ardahan, Türkiye"
Artvin,Artvin Çoruh University,"Artvin Çoruh University, Artvin, Türkiye"
Aydın,Aydın Adnan Menderes University,"Aydın Adnan Menderes University, Aydın, Türkiye"
Balıkesir,Balıkesir University,"Balıkesir University, Balıkesir, Türkiye"
,Bandırma Onyedi Eylül University,"Bandırma Onyedi Eylül University, , Türkiye"
Bartın,Bartın University,"Bartın University, Bartın, Türkiye"
Batman,Batman University,"Batman University, Batman, Türkiye"
Bayburt,Bayburt University,"Bayburt University, Bayburt, Türkiye"
Bilecik,Bilecik Şeyh Edebali University,"Bilecik Şeyh Edebali University, Bilecik, Türkiye"
Bingöl,Bingöl University,"Bingöl University, Bingöl, Türkiye"
Bitlis,Bitlis Eren University,"Bitlis Eren University, Bitlis, Türkiye"
Bolu,Bolu Abant İzzet Baysal University,"Bolu Abant İzzet Baysal University, Bolu, Türkiye"
Burdur,Burdur Mehmet Akif Ersoy University,"Burdur Mehmet Akif Ersoy University, Burdur, Türkiye"
Bursa,Bursa Technical University,"Bursa Technical University, Bursa, Türkiye"
,Bursa Uludağ University,"Bursa Uludağ University, , Türkiye"
,Mudanya University,"Mudanya University, , Türkiye"
Çanakkale,Çanakkale Onsekiz Mart University,"Çanakkale Onsekiz Mart University, Çanakkale, Türkiye"
Çankırı,Çankırı Karatekin University,"Çankırı Karatekin University, Çankırı, Türkiye"
Çorum,Hitit University,"Hitit University, Çorum, Türkiye"
Denizli,Pamukkale University,"Pamukkale University, Denizli, Türkiye"
Diyarbakır,Dicle University,"Dicle University, Diyarbakır, Türkiye"
Düzce,Düzce University,"Düzce University, Düzce, Türkiye"
Edirne,Trakya University,"Trakya University, Edirne, Türkiye"
Elazığ,Fırat University,"Fırat University, Elazığ, Türkiye"
Erzincan,Erzincan Binali Yıldırım University,"Erzincan Binali Yıldırım University, Erzincan, Türkiye"
Erzurum,Atatürk University,"Atatürk University, Erzurum, Türkiye"
,Erzurum Technical University,"Erzurum Technical University, , Türkiye"
Eskişehir,Anadolu University,"Anadolu University, Eskişehir, Türkiye"
,Eskişehir Osmangazi University,"Eskişehir Osmangazi University, , Türkiye"
,Eskişehir Technical University,"Eskişehir Technical University, , Türkiye"
Gaziantep,Gaziantep University,"Gaziantep University, Gaziantep, Türkiye"
