university_name,original_address,lat,lng,place_id,location_type,il,ilce,mahalle,postal_code,has_university,has_establishment,has_poi,is_private,types_count,bolge,sehir_kategori,lat_kategori,lng_kategori
Adana Alparslan Türkeş University of Science and Technology,"Adana Alparslan Türkeş University of Science and Technology, Adana, Türkiye",37.0395428,35.3850434,ChIJNbmZZP6NKBURjtwb-2rlTFY,GEOMETRIC_CENTER,Adana,Sarıçam,Balcalı,01250,True,True,True,False,3,Akdeniz,Büyükşehir,Güney,Orta
Çukurova University,"Çukurova University, , Türkiye",37.0599588,35.3551673,ChIJ036YlNWNKBURRDEKUUM07lY,GEOMETRIC_CENTER,Adana,Sarıçam,Balcalı,01330,True,True,True,False,3,Akdeniz,Büyükşehir,Güney,Orta
Adıyaman University,"Adıyaman University, Adıyaman, Türkiye",37.7867195,38.2207707,ChIJ52EeYCwRMxURqhh-bdIeQGo,GEOMETRIC_CENTER,Adıyaman,Adıyaman Merkez,Türkiye Petrolleri,02040,True,True,True,False,3,Diğer,İl,Güney-Orta,Orta-Doğu
Afyon Kocatepe University,"Afyon Kocatepe University, Afyonkarahisar, Türkiye",38.827317,30.530868,ChIJMai5VH4YzxQRkh75l8cNzfA,GEOMETRIC_CENTER,Afyonkarahisar,Afyonkarahisar Merkez,Battalgazi,03032,False,True,True,False,2,Diğer,İl,Orta,Batı-Orta
Afyonkarahisar Health Sciences University,"Afyonkarahisar Health Sciences University, , Türkiye",38.7856603,30.4647861,ChIJX5mrx2w9zxQR-Xz08UfO8FA,GEOMETRIC_CENTER,Afyonkarahisar,Afyonkarahisar Merkez,Dörtyol,03030,True,True,True,False,5,Diğer,İl,Orta,Batı-Orta
Ağrı İbrahim Çeçen University,"Ağrı İbrahim Çeçen University, Ağrı, Türkiye",39.7219315,42.9924428,ChIJN_JPUcuGbEARst5WYYy9QRM,GEOMETRIC_CENTER,Ağrı,Ağrı Merkez,Fırat,04100,True,True,True,False,3,Diğer,İl,Orta,Doğu
Aksaray University,"Aksaray University, Aksaray, Türkiye",38.3251308,33.9776309,ChIJ72ENK_hv1hQR8Qi9fLcoVT4,GEOMETRIC_CENTER,Aksaray,Aksaray Merkez,Bahçesaray,68100,True,True,True,False,3,Diğer,İl,Güney-Orta,Orta
Amasya University,"Amasya University, Amasya, Türkiye",40.6508781,35.8257181,ChIJDQXV_k1uh0ARClmgx4LRsmM,ROOFTOP,Amasya,Amasya Merkez,Hacı İlyas,05100,False,True,True,False,2,Diğer,İl,Orta-Kuzey,Orta
Ankara University,"Ankara University, Ankara, Türkiye",39.934855,32.8338615,ChIJB3sGcN1O0xQR_A3vU0p22LI,GEOMETRIC_CENTER,Ankara,Yenimahalle,Emniyet,0600,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Ankara Music and Fine Arts University,"Ankara Music and Fine Arts University, , Türkiye",39.8568044,32.8456927,ChIJFyD5765F0xQRyqfR33Nweqs,ROOFTOP,Ankara,Çankaya,Yukarı Dikmen,06550,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Ankara Hacı Bayram Veli University,"Ankara Hacı Bayram Veli University, , Türkiye",39.9333635,32.8597419,ChIJsS1zINVH0xQRjSuEwLBX3As,APPROXIMATE,Ankara,,,,False,False,False,False,2,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Social Sciences University of Ankara,"Social Sciences University of Ankara, , Türkiye",39.94273159999999,32.8564133,ChIJNUiblmFO0xQRNo7yFBdnyjA,ROOFTOP,Ankara,Altındağ,Ulus,06050,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Gazi University,"Gazi University, , Türkiye",39.93801149999999,32.8216492,ChIJ43LVK9pO0xQRJ5l7rrlESQw,ROOFTOP,Ankara,Yenimahalle,Emniyet,06560,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Hacettepe University,"Hacettepe University, , Türkiye",38.963745,35.243322,ChIJcSZPllwVsBQRKl9iKtTb2UA,APPROXIMATE,,,,,False,False,False,False,2,Diğer,İl,Orta,Orta
Middle East Technical University,"Middle East Technical University, , Türkiye",39.88983820000001,32.780086,ChIJg8DwVEdG0xQRdc9dprmCPBw,ROOFTOP,Ankara,Çankaya,Üniversiteler,06800,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Ankara Yıldırım Beyazıt University,"Ankara Yıldırım Beyazıt University, , Türkiye",39.9333635,32.8597419,ChIJsS1zINVH0xQRjSuEwLBX3As,APPROXIMATE,Ankara,,,,False,False,False,False,2,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Ankara Science University,"Ankara Science University, , Türkiye",39.9238352,32.8456887,ChIJeUK1n5xJ0xQRFmpNqRoj4o8,ROOFTOP,Ankara,Çankaya,Maltepe,06570,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
